,Name,Prize,Discount,Delivery
0,Trendy Refined Sarees,₹609,₹50 discount on 1st order,Free Delivery
1,Adrika Fabulous Sarees,₹213,₹37 discount on 1st order,Free Delivery
2,Trendy Petite Sarees,₹306,₹50 discount on 1st order,Free Delivery
3,Charvi Fashionable Sarees,₹384,₹50 discount on 1st order,Free Delivery
4,Aishani Ensemble Sarees,₹313,₹50 discount on 1st order,Free Delivery
5,Aagam Drishya Sarees,₹311,₹50 discount on 1st order,Free Delivery
6,Chitrarekha Graceful Sarees,₹227,₹39 discount on 1st order,Free Delivery
7,Banita Drishya Cotton Silk Sarees,₹592,₹50 discount on 1st order,Free Delivery
8,Myra Graceful Sarees,₹221,₹39 discount on 1st order,Free Delivery
9,Abhisarika Alluring Sarees,₹329,₹50 discount on 1st order,Free Delivery
10,Banita Pretty Sarees,₹441,₹50 discount on 1st order,Free Delivery
11,Alisha Petite Sarees,₹417,₹50 discount on 1st order,Free Delivery
12,Alisha Voguish Sarees,₹590,₹50 discount on 1st order,Free Delivery
13,Charvi Graceful Sarees,₹453,₹50 discount on 1st order,Free Delivery
14,Banita Ensemble Sarees,₹579,₹50 discount on 1st order,Free Delivery
15,Myra Pretty Sarees,₹223,₹39 discount on 1st order,Free Delivery
16,Myra Fashionable Sarees,₹492,₹50 discount on 1st order,Free Delivery
17,Abhisarika Sensational Sarees,₹307,₹50 discount on 1st order,Free Delivery
18,Jivika Fabulous Sarees,₹291,₹50 discount on 1st order,Free Delivery
19,Adrika Fashionable Sarees,₹322,₹50 discount on 1st order,Free Delivery
20,Alisha Alluring Sarees,₹278,₹48 discount on 1st order,Free Delivery
21,Kashvi Fashionable Sarees,₹366,₹50 discount on 1st order,Free Delivery
22,Aagam Fashionable Sarees,₹309,₹50 discount on 1st order,Free Delivery
23,Alisha Petite Sarees,₹302,₹50 discount on 1st order,Free Delivery
24,Alisha Sensational Sarees,₹321,₹50 discount on 1st order,Free Delivery
25,Alisha Petite Sarees,₹228,₹40 discount on 1st order,Free Delivery
26,Chitrarekha Petite Sarees,₹418,₹50 discount on 1st order,Free Delivery
27,Adrika Alluring Sarees,₹508,₹50 discount on 1st order,Free Delivery
28,Charvi Drishya Sarees,₹228,₹40 discount on 1st order,Free Delivery
29,Aagam Drishya Sarees,₹520,₹50 discount on 1st order,Free Delivery
30,Aagam Alluring Sarees,₹286,₹50 discount on 1st order,Free Delivery
31,Charvi Voguish Sarees,₹492,₹50 discount on 1st order,Free Delivery
32,Banita Alluring Sarees,₹438,₹50 discount on 1st order,Free Delivery
33,Aagam Voguish Sarees,₹562,₹50 discount on 1st order,Free Delivery
34,Aakarsha Superior Sarees,₹319,₹50 discount on 1st order,Free Delivery
35,Jivika Ensemble Sarees,₹579,₹50 discount on 1st order,Free Delivery
36,Aagam Pretty Sarees,₹297,₹50 discount on 1st order,Free Delivery
37,Abhisarika Alluring Sarees,₹261,₹45 discount on 1st order,Free Delivery
38,Trendy Petite Sarees,₹482,₹50 discount on 1st order,Free Delivery
39,Aagam Fabulous Sarees,₹201,₹35 discount on 1st order,Free Delivery
40,Chitrarekha Refined Sarees,₹501,₹50 discount on 1st order,Free Delivery
41,Abhisarika Fashionable Sarees,₹314,₹50 discount on 1st order,Free Delivery
42,Trendy Refined Sarees,₹591,₹50 discount on 1st order,Free Delivery
43,Trendy Refined Sarees,₹403,₹50 discount on 1st order,Free Delivery
44,Aagyeyi Voguish Sarees,₹309,₹50 discount on 1st order,Free Delivery
45,Aakarsha Petite Sarees,₹412,₹50 discount on 1st order,Free Delivery
